                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                      67                                     1333                  2.0000000000000000E+001                  2.0000000000000000E-002                  1.0411694855456356E+007                  3.0261772442590674E+004                  2.8185345787588842E+004                  1.6951165541937624E+005                  1.7290672481152853E+001                 -6.0677397681025242E+000                  8.1007537512662993E-005                  0.0000000000000000E+000                  9.8052524103137195E-001                  3.1924741589802271E-004                  1.2537412589661774E-002                  3.4730719177763234E-004                  1.4859772264195776E-003                  1.9142354185617780E+001                 -2.4995022175671715E-007                  5.0310105815893342E+000                  5.3718007520849052E-005                  1.3736745065086621E+001                  8.7006847552756131E-003                  2.1083400461704485E-001                  3.6523089434370506E-002                  2.8445102380279325E-002                  6.8242621819100648E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9142354104938583E+001                  1.7039173499710571E+001                  1.9142353200687698E+001                  1.6336589828679710E+001                  1.6453326822348585E+005                  2.9346667030684498E+003                  1.1292647775906087E+006                  1.6137733177758590E+005                  1.6126916279002815E+005                  1.8587126432232503E-014                  1.0984273431895645E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                       net_nuclear_energy                               net_energy                     eps_nuc_plus_nuc_neu                                  eps_nuc                          log_abs_eps_nuc                                       pp                                      cno                                 tri_alfa                                   burn_c                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     logL                        mlt_mixing_length                          mlt_mixing_type                                    gradT                          gradT_sub_grada                          gradT_div_grada                          gradr_sub_gradT                          gradT_sub_gradr                          gradT_div_gradr                                 super_ad                            log_mlt_D_mix                              mixing_type                                log_D_mix                   log_D_mix_non_rotation                               log_D_conv                                log_D_ovr                    log_D_rayleigh_taylor                               log_D_anon                                    omega                                    v_rot 
                                       1                  1.9142354185617780E+001                  1.2378118844927999E+000                  4.4500650190626914E+000                 -9.5285750496253474E+000                  3.4065419770562380E+000                  5.9660120393747451E-001                  3.8353074147922039E-001                  1.9868054583305095E-002                  0.0000000000000000E+000                  6.3477156539343857E+000                  3.2800640270374132E-029                  3.1538876654711997E-029                 -2.8501153779344083E+001                  3.1538849031168954E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9660120393747451E-001                  1.0618055906942938E-005                  3.8352012342331343E-001                  1.1544963951523755E-003                  7.2683762992934711E-003                  5.2553976556731193E-003                  5.2291995651366863E+000                  7.3611785799731655E+009                                        1                  2.6639305261109714E-001                  1.4227150607636574E-002                  1.0564198033699312E+000                  3.3503994242122859E-002                 -3.3503994242122859E-002                  8.8828168001760655E-001                  1.4227150607636574E-002                  1.1836770502377954E+001                                        1                  1.3720674971201742E+001                  1.1557849619968760E+001                  1.1557849619968760E+001                 -9.9000000000000000E+001                  1.0000000000000000E-099                 -9.9000000000000000E+001                  2.5230233229392729E-005                  3.0361967382321251E+002 
                                       2                  1.9142354185608209E+001                  1.2378106093192980E+000                  4.4501677887073789E+000                 -9.5283370093357327E+000                  3.4069277061811505E+000                  5.9660120393747418E-001                  3.8353074147922067E-001                  1.9868054583305206E-002                  0.0000000000000000E+000                  6.3481250910206137E+000                  3.2818623937394446E-029                  3.1556168532287490E-029                 -2.8500915733165385E+001                  3.1556140893599241E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9660120393747418E-001                  1.0618055906942925E-005                  3.8352012342331371E-001                  1.1544963951523740E-003                  7.2683762992934772E-003                  5.2553976556731141E-003                  5.2291995651084111E+000                  7.3618964293823471E+009                                        1                  2.6639549024461096E-001                  1.4232985900868522E-002                  1.0564437045781654E+000                  3.3517735969910478E-002                 -3.3517735969910478E-002                  8.8824188785213509E-001                  1.4232985900868522E-002                  1.1837088661709737E+001                                        1                  1.3720674971201742E+001                  1.1558037785398763E+001                  1.1558037785398763E+001                 -9.9000000000000000E+001                  1.0000000000000000E-099                 -9.9000000000000000E+001                  2.5230233229392729E-005                  3.0361878233780232E+002 
                                       3                  1.9142354185586282E+001                  1.2378076895401113E+000                  4.4503600440862323E+000                 -9.5278918860692237E+000                  3.4076492541605083E+000                  5.9660120393747262E-001                  3.8353074147922217E-001                  1.9868054583305206E-002                  0.0000000000000000E+000                  6.3489651452783065E+000                  3.2852278944464017E-029                  3.1588528910256677E-029                 -2.8500470598882259E+001                  3.1588501243225351E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9660120393747262E-001                  1.0618055906942842E-005                  3.8352012342331521E-001                  1.1544963951523645E-003                  7.2683762992935171E-003                  5.2553976556730811E-003                  5.2291995650435732E+000                  7.3652837147833385E+009                                        1                  2.6640684134461279E-001                  1.4259931118736136E-002                  1.0565540585286646E+000                  3.3581190167394304E-002                 -3.3581190167394304E-002                  8.8805823352972602E-001                  1.4259931118736136E-002                  1.1838558707336370E+001                                        1                  1.3693104121757036E+001                  1.1558912208672036E+001                  1.1558912208672036E+001                 -9.9000000000000000E+001                  1.0000000000000000E-099                 -9.9000000000000000E+001                  2.5230233229392773E-005                  3.0361674110343688E+002 
                                       4                  1.9142354185549216E+001                  1.2378027586048634E+000                  4.4507561230404660E+000                 -9.5269766801252214E+000                  3.4091351627126252E+000                  5.9660120393746563E-001                  3.8353074147922922E-001                  1.9868054583305206E-002                  0.0000000000000000E+000                  6.3507077559410021E+000                  3.2921584567819513E-029                  3.1655168509010525E-029                 -2.8499555370269544E+001                  3.1655140783612467E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9660120393746563E-001                  1.0618055906942459E-005                  3.8352012342332226E-001                  1.1544963951523207E-003                  7.2683762992936992E-003                  5.2553976556729311E-003                  5.2291995649337517E+000                  7.3710140970388098E+009                                        1                  2.6642605051020041E-001                  1.4305644372257287E-002                  1.0567413189253321E+000                  3.3688841841647221E-002                 -3.3688841841647221E-002                  8.8774685062229031E-001                  1.4305644372257287E-002                  1.1841048706605608E+001                                        1                  1.3681759610585884E+001                  1.1560393090541821E+001                  1.1560393090541821E+001                 -9.9000000000000000E+001                  1.0000000000000000E-099                 -9.9000000000000000E+001                  2.5230233229392868E-005                  3.0361329388949929E+002 
                                       5                  1.9142354185464491E+001                  1.2377915109934470E+000                  4.4515418056980991E+000                 -9.5251654197967071E+000                  3.4120814423873407E+000                  5.9660120393743410E-001                  3.8353074147926086E-001                  1.9868054583304984E-002                  0.0000000000000000E+000                  6.3541997030814965E+000                  3.3059176837659819E-029                  3.1787467927295195E-029                 -2.8497744065007527E+001                  3.1787440086021777E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9660120393743410E-001                  1.0618055906940738E-005                  3.8352012342335390E-001                  1.1544963951521244E-003                  7.2683762992945171E-003                  5.2553976556722589E-003                  5.2291995646817240E+000                  7.3841253693814793E+009                                        1                  2.6647005552573488E-001                  1.4410876682038554E-002                  1.0571725923576656E+000                  3.3936656938164278E-002                 -3.3936656938164278E-002                  8.8703096325704589E-001                  1.4410876682038554E-002                  1.1846760848931781E+001                                        1                  1.3676591762318241E+001                  1.1563789763715571E+001                  1.1563789763715571E+001                 -9.9000000000000000E+001                  1.0000000000000000E-099                 -9.9000000000000000E+001                  2.5230233229393396E-005                  3.0360543083742385E+002 
                                       6                  1.9142354185306512E+001                  1.2377706238502857E+000                  4.4532974981685207E+000                 -9.5211554842029198E+000                  3.4186527893915808E+000                  5.9660120393728966E-001                  3.8353074147940547E-001                  1.9868054583304873E-002                  0.0000000000000000E+000                  6.3622364984084747E+000                  3.3365840622822830E-029                  3.2082335076686144E-029                 -2.8493734029601924E+001                  3.2082306977151312E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9660120393728966E-001                  1.0618055906932879E-005                  3.8352012342349856E-001                  1.1544963951512282E-003                  7.2683762992982546E-003                  5.2553976556691823E-003                  5.2291995642080034E+000                  7.4086759045515976E+009                                        1                  2.6655212031832537E-001                  1.4609741072009130E-002                  1.0579884222563669E+000                  3.4404969361381710E-002                 -3.4404969361381710E-002                  8.8568147905072736E-001                  1.4609741072009130E-002                  1.1857495814848800E+001                                        1                  1.3673189332399469E+001                  1.1570169665786073E+001                  1.1570169665786073E+001                 -9.9000000000000000E+001                  1.0000000000000000E-099                 -9.9000000000000000E+001                  2.5230233229395504E-005                  3.0359082946010977E+002 
                                       7                  1.9142354184917309E+001                  1.2377196247524282E+000                  4.4556892581081504E+000                 -9.5156600818816734E+000                  3.4276208105753692E+000                  5.9660120393684424E-001                  3.8353074147985161E-001                  1.9868054583304096E-002                  0.0000000000000000E+000                  6.3734008263876154E+000                  3.3790732852807888E-029                  3.2490882700225920E-029                 -2.8488238489743662E+001                  3.2490854242861817E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9660120393684424E-001                  1.0618055906908632E-005                  3.8352012342394470E-001                  1.1544963951484629E-003                  7.2683762993097844E-003                  5.2553976556596925E-003                  5.2291995630191046E+000                  7.4687372949700899E+009                                        1                  2.6675676630642159E-001                  1.5112707799718850E-002                  1.0600558896140848E+000                  3.5589422581418728E-002                 -3.5589422581418728E-002                  8.8228916424469583E-001                  1.5112707799718850E-002                  1.1884119839496432E+001                                        1                  1.3668649887418553E+001                  1.1586042997094312E+001                  1.1586042997094312E+001                 -9.9000000000000000E+001                  1.0000000000000000E-099                 -9.9000000000000000E+001                  2.5230233229406841E-005                  3.0355518095438947E+002 
                                       8                  1.9142354184546633E+001                  1.2376716485072088E+000                  4.4587506055760819E+000                 -9.5087465070896222E+000                  3.4390612485612500E+000                  5.9660120393596761E-001                  3.8353074148072969E-001                  1.9868054583302763E-002                  0.0000000000000000E+000                  6.3882390731046810E+000                  3.4332968883859437E-029                  3.3012260184327095E-029                 -2.8481324740680943E+001                  3.3012231270310909E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9660120393596761E-001                  1.0618055906860908E-005                  3.8352012342482283E-001                  1.1544963951430204E-003                  7.2683762993324772E-003                  5.2553976556410148E-003                  5.2291995618573361E+000                  7.5256623247219648E+009                                        1                  2.6695162146417933E-001                  1.5606899032597599E-002                  1.0620936014952371E+000                  3.6753210094287947E-002                 -3.6753210094287947E-002                  8.7898378203044014E-001                  1.5606899032597599E-002                  1.1909689672823092E+001                                        1                  1.3665383837609877E+001                  1.1601359271822544E+001                  1.1601359271822544E+001                 -9.9000000000000000E+001                  1.0000000000000000E-099                 -9.9000000000000000E+001                  2.5230233229425540E-005                  3.0352164925198286E+002 
                                       9                  1.9142354183925317E+001                  1.2375924664494944E+000                  4.4629780934416736E+000                 -9.4992475163157817E+000                  3.4548549761589755E+000                  5.9660120393404048E-001                  3.8353074148266003E-001                  1.9868054583299433E-002                  0.0000000000000000E+000                  6.4092953794086434E+000                  3.5092199720604456E-029                  3.3742285193448110E-029                 -2.8471825508193330E+001                  3.3742255640034479E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9660120393404048E-001                  1.0618055906756000E-005                  3.8352012342675329E-001                  1.1544963951310558E-003                  7.2683762993823635E-003                  5.2553976555999556E-003                  5.2291995598423062E+000                  7.6210388027784004E+009                                        1                  2.6726825062204518E-001                  1.6460958273923687E-002                  1.0656318965840748E+000                  3.8764462852690917E-002                 -3.8764462852690917E-002                  8.7333229048439276E-001                  1.6460958273923687E-002                  1.1952876083210407E+001                                        1                  1.3659899465878226E+001                  1.1627427103813039E+001                  1.1627427103813039E+001                 -9.9000000000000000E+001                  1.0000000000000000E-099                 -9.9000000000000000E+001                  2.5230233229473529E-005                  3.0346631519018774E+002 
