1:t[yr],2:M/Msun,3:Teff[K],4:log(L/Lsun),5:R/Rsun,6:log(Mdot)[Msun/yr],7:logg,8:v_surf[km/s],9:P[days],10:v_crit[km/s],11:Gamma,12:H,13:He,14:Li,15:Be,16:B,17:C,18:N,19:O,20:F,21:Ne,22:Na,23:Mg,24:Al,25:Si,26:Fe,27:sH1,28:sHe3,29:sHe4,30:sLi7,31:sBe9,32:sB10,33:sB11,34:sC12,35:sC13,36:sN14,37:sN15,38:sO16,39:sO17,40:sO18,41:sF19,42:sNe20,43:sNe21,44:sNe22,45:sNa23,46:sMg24,47:sMg25,48:sMg26,49:sAl26,50:sAl27,51:sSi28,52:sSi29,53:sSi30,54:sFe56,55:cH1,56:cHe3,57:cHe4,58:cLi7,59:cBe9,60:cB10,61:cB11,62:cC12,63:cC13,64:cN14,65:cN15,66:cO16,67:cO17,68:cO18,69:cF19,70:cNe20,71:cNe21,72:cNe22,73:cNa23,74:cMg24,74:cMg25,76:cMg26,77:cAl26,78:cAl27,79:cSi28,80:cSi29,81:cSi30,82:cFe56
0.00000e+00,59.59936,45769.68870,5.68251,11.02690,-5.63484,4.12806,537.42465,1.03870,900.37800,0.21343,12.00000,10.95937,1.39713,0.27813,2.30301,8.05413,7.87152,8.53948,4.49336,7.84007,6.19056,7.32002,6.37477,7.41051,7.40051,7.26558e-01,2.71088e-05,2.64631e-01,1.26599e-10,1.23293e-11,3.65797e-10,1.20337e-09,9.72747e-04,1.60901e-05,7.55336e-04,1.44431e-06,3.98979e-03,3.13256e-05,7.57705e-06,4.29912e-07,9.35363e-04,2.08133e-06,7.49445e-05,2.59155e-05,2.88118e-04,3.74697e-05,4.36044e-05,3.92726e-07,4.60872e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.12853e-01,8.10961e-07,2.78612e-01,1.95884e-15,3.69828e-16,1.78238e-13,2.42103e-13,8.81049e-05,1.19124e-05,2.99916e-03,2.02302e-07,2.47172e-03,1.85353e-04,1.04232e-07,2.85759e-08,9.33254e-04,4.08319e-07,6.30957e-05,4.16869e-05,2.88403e-04,3.06902e-05,4.47713e-05,5.63638e-06,4.66659e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
0.00000e+00,59.59936,45769.68870,5.68251,11.02690,-5.63484,4.12806,537.42465,1.03870,900.37800,0.21343,12.00000,10.95937,1.39713,0.27813,2.30301,8.05413,7.87152,8.53948,4.49336,7.84007,6.19056,7.32002,6.37477,7.41051,7.40051,7.26558e-01,2.71088e-05,2.64631e-01,1.26599e-10,1.23293e-11,3.65797e-10,1.20337e-09,9.72747e-04,1.60901e-05,7.55336e-04,1.44431e-06,3.98979e-03,3.13256e-05,7.57705e-06,4.29912e-07,9.35363e-04,2.08133e-06,7.49445e-05,2.59155e-05,2.88118e-04,3.74697e-05,4.36044e-05,3.92726e-07,4.60872e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.12853e-01,8.10961e-07,2.78612e-01,1.95884e-15,3.69828e-16,1.78238e-13,2.42103e-13,8.81049e-05,1.19124e-05,2.99916e-03,2.02302e-07,2.47172e-03,1.85353e-04,1.04232e-07,2.85759e-08,9.33254e-04,4.08319e-07,6.30957e-05,4.16869e-05,2.88403e-04,3.06902e-05,4.47713e-05,5.63638e-06,4.66659e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
1.74710e+04,59.55871,45756.28583,5.68318,11.04190,-5.63322,4.12658,536.08804,1.04271,899.20900,0.21387,12.00000,10.96010,1.21808,0.15995,2.24604,8.03475,7.91732,8.53558,4.47464,7.84010,6.19773,7.32005,6.37638,7.41070,7.40070,7.26240e-01,2.58274e-05,2.64960e-01,8.38398e-11,9.37994e-12,3.27356e-10,1.04761e-09,9.29245e-04,1.60764e-05,8.39189e-04,1.38029e-06,3.94512e-03,3.89520e-05,7.20427e-06,4.11595e-07,9.35320e-04,2.00854e-06,7.46586e-05,2.63354e-05,2.88118e-04,3.72812e-05,4.36526e-05,5.24252e-07,4.61031e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.11214e-01,7.51623e-07,2.80543e-01,1.24165e-15,2.60615e-16,1.53462e-13,2.01372e-13,8.68960e-05,1.20226e-05,3.07610e-03,2.02768e-07,2.38781e-03,1.81552e-04,9.46237e-08,2.67917e-08,9.33254e-04,3.96278e-07,6.22300e-05,4.28549e-05,2.88403e-04,3.02691e-05,4.48745e-05,5.95662e-06,4.67735e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
3.45800e+04,59.51875,45749.12446,5.68386,11.05390,-5.63161,4.12535,534.79654,1.04637,898.17500,0.21430,12.00000,10.96093,1.04276,0.04458,2.19046,8.01466,7.96041,8.53120,4.45495,7.84015,6.20564,7.32010,6.37818,7.41093,7.40093,7.25855e-01,2.45573e-05,2.65332e-01,5.59874e-11,7.18108e-12,2.93508e-10,9.15103e-10,8.86156e-04,1.60096e-05,9.26424e-04,1.31750e-06,3.89619e-03,4.65768e-05,6.83660e-06,3.93143e-07,9.35276e-04,1.93446e-06,7.43327e-05,2.68053e-05,2.88118e-04,3.70732e-05,4.37079e-05,6.67621e-07,4.61222e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.09578e-01,6.95024e-07,2.81838e-01,8.10961e-16,1.85353e-16,1.32434e-13,1.68267e-13,8.53100e-05,1.21339e-05,3.14775e-03,2.02768e-07,2.31206e-03,1.77828e-04,8.55067e-08,2.48886e-08,9.33254e-04,3.84592e-07,6.12350e-05,4.39542e-05,2.88403e-04,2.97852e-05,4.49780e-05,6.25173e-06,4.67735e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
5.13297e+04,59.47950,45744.57556,5.68452,11.06460,-5.63013,4.12422,533.52703,1.04988,897.20500,0.21472,12.00000,10.96187,0.87109,-0.06833,2.13627,7.99415,8.00044,8.52640,4.43458,7.84021,6.21411,7.32016,6.38008,7.41118,7.40118,7.25437e-01,2.33190e-05,2.65754e-01,3.76973e-11,5.53006e-12,2.63724e-10,8.01992e-10,8.44190e-04,1.59063e-05,1.01548e-03,1.25678e-06,3.84388e-03,5.40232e-05,6.47963e-06,3.74913e-07,9.35233e-04,1.86067e-06,7.39707e-05,2.73174e-05,2.88118e-04,3.68477e-05,4.37703e-05,8.19974e-07,4.61424e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.07946e-01,6.29506e-07,2.83139e-01,5.18800e-16,1.23595e-16,1.06905e-13,1.31220e-13,8.27942e-05,1.22180e-05,3.22107e-03,2.02302e-07,2.23357e-03,1.74582e-04,7.32825e-08,2.28034e-08,9.33254e-04,3.72392e-07,6.02560e-05,4.50817e-05,2.88403e-04,2.93765e-05,4.51856e-05,6.53131e-06,4.68813e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
6.77355e+04,59.44091,45744.49955,5.68518,11.07300,-5.62860,4.12328,532.32406,1.05306,896.34200,0.21513,12.00000,10.96291,0.70278,-0.17881,2.08337,7.97340,8.03747,8.52125,4.41375,7.84029,6.22300,7.32025,6.38208,7.41146,7.40146,7.24970e-01,2.21233e-05,2.66220e-01,2.55758e-11,4.28134e-12,2.37471e-10,7.05018e-10,8.03711e-04,1.57794e-05,1.10530e-03,1.19867e-06,3.78896e-03,6.11801e-05,6.13607e-06,3.57125e-07,9.35190e-04,1.78817e-06,7.35766e-05,2.78644e-05,2.88118e-04,3.66083e-05,4.38389e-05,9.79016e-07,4.61636e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.06318e-01,5.84790e-07,2.84446e-01,3.66438e-16,8.93305e-17,9.31108e-14,1.10662e-13,8.07235e-05,1.22462e-05,3.28852e-03,2.05116e-07,2.16770e-03,1.71002e-04,6.79204e-08,2.09894e-08,9.33254e-04,3.61410e-07,5.94292e-05,4.61318e-05,2.88403e-04,2.89734e-05,4.52898e-05,6.80769e-06,4.68813e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
8.37963e+04,59.40301,45741.44975,5.68583,11.08280,-5.62711,4.12223,531.04184,1.05653,895.43200,0.21552,12.00000,10.96403,0.53789,-0.28692,2.03173,7.95261,8.07159,8.51580,4.39266,7.84037,6.23218,7.32035,6.38414,7.41176,7.40176,7.24469e-01,2.09793e-05,2.66723e-01,1.74872e-11,3.33173e-12,2.14304e-10,6.21584e-10,7.65050e-04,1.56394e-05,1.19495e-03,1.14346e-06,3.73224e-03,6.79657e-05,5.80858e-06,3.39962e-07,9.35126e-04,1.71771e-06,7.31543e-05,2.84400e-05,2.88124e-04,3.63588e-05,4.39137e-05,1.14254e-06,4.61860e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.04693e-01,5.45758e-07,2.85759e-01,2.69153e-16,6.48634e-17,8.16582e-14,9.37562e-14,7.87046e-05,1.23310e-05,3.34965e-03,2.06538e-07,2.09894e-03,1.67494e-04,6.26614e-08,1.93642e-08,9.33254e-04,3.50752e-07,5.86138e-05,4.70977e-05,2.88403e-04,2.85759e-05,4.53942e-05,7.04693e-06,4.68813e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
9.95905e+04,59.36562,45751.66653,5.68650,11.08640,-5.62565,4.12168,529.98673,1.05898,894.77600,0.21593,12.00000,10.96521,0.37568,-0.39321,1.98107,7.93178,8.10315,8.51007,4.37134,7.84046,6.24160,7.32046,6.38626,7.41208,7.40208,7.23936e-01,1.98861e-05,2.67258e-01,1.20298e-11,2.60274e-12,1.93727e-10,5.49263e-10,7.28132e-04,1.54921e-05,1.28419e-03,1.09104e-06,3.67392e-03,7.43635e-05,5.49629e-06,3.23437e-07,9.35083e-04,1.64945e-06,7.27093e-05,2.90422e-05,2.88124e-04,3.60994e-05,4.39937e-05,1.30966e-06,4.62094e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.04693e-01,5.11682e-07,2.87078e-01,1.93642e-16,4.77529e-17,7.17794e-14,7.97995e-14,7.67361e-05,1.24451e-05,3.41193e-03,2.07491e-07,2.04174e-03,1.64059e-04,5.75440e-08,1.78649e-08,9.33254e-04,3.41193e-07,5.78096e-05,4.80839e-05,2.88403e-04,2.81838e-05,4.54988e-05,7.27780e-06,4.69894e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
1.15021e+05,59.32895,45765.51981,5.68717,11.08820,-5.62416,4.12127,529.05850,1.06102,894.20100,0.21632,12.00000,10.96647,0.21713,-0.49739,1.93167,7.91115,8.13215,8.50417,4.35004,7.84057,6.25109,7.32059,6.38842,7.41242,7.40242,7.23369e-01,1.88534e-05,2.67824e-01,8.34469e-12,2.04376e-12,1.75533e-10,4.86777e-10,6.93282e-04,1.53444e-05,1.37192e-03,1.04184e-06,3.61510e-03,8.03045e-05,5.20200e-06,3.07716e-07,9.35018e-04,1.58420e-06,7.22454e-05,2.96606e-05,2.88124e-04,3.58344e-05,4.40768e-05,1.47771e-06,4.62338e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.03072e-01,4.73151e-07,2.88403e-01,1.34276e-16,3.28852e-17,5.97035e-14,6.39735e-14,7.44732e-05,1.25603e-05,3.46737e-03,2.07014e-07,1.98153e-03,1.60694e-04,5.09331e-08,1.64059e-08,9.33254e-04,3.31131e-07,5.70164e-05,4.89779e-05,2.88403e-04,2.78612e-05,4.56037e-05,7.51623e-06,4.69894e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
1.30067e+05,59.29308,45782.11970,5.68783,11.08860,-5.62266,4.12097,528.21290,1.06276,893.69300,0.21671,12.00000,10.96778,0.06237,-0.59937,1.88357,7.89085,8.15877,8.49812,4.32889,7.84069,6.26056,7.32073,6.39057,7.41277,7.40277,7.22786e-01,1.78826e-05,2.68417e-01,5.83902e-12,1.61350e-12,1.59441e-10,4.32713e-10,6.60557e-04,1.51995e-05,1.45757e-03,9.95841e-07,3.55615e-03,8.57729e-05,4.92595e-06,2.92853e-07,9.34975e-04,1.52219e-06,7.17712e-05,3.02901e-05,2.88124e-04,3.55664e-05,4.41642e-05,1.64513e-06,4.62583e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,7.01455e-01,4.38531e-07,2.89734e-01,9.44061e-17,2.24905e-17,4.93174e-14,5.10505e-14,7.24436e-05,1.27057e-05,3.52371e-03,2.06538e-07,1.92309e-03,1.57398e-04,4.56037e-08,1.50314e-08,9.33254e-04,3.21366e-07,5.62341e-05,4.98884e-05,2.88403e-04,2.74789e-05,4.57088e-05,7.72681e-06,4.70977e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
1.44720e+05,59.25803,45798.04011,5.68849,11.08930,-5.62117,4.12066,527.37649,1.06451,893.18400,0.21709,12.00000,10.96913,-0.08854,-0.69890,1.83679,7.87095,8.18323,8.49199,4.30799,7.84081,6.26994,7.32089,6.39271,7.41314,7.40314,7.22171e-01,1.69738e-05,2.69023e-01,4.12173e-12,1.28071e-12,1.45191e-10,3.85825e-10,6.29927e-04,1.50605e-05,1.54081e-03,9.52972e-07,3.49760e-03,9.07737e-05,4.66788e-06,2.78856e-07,9.34910e-04,1.46352e-06,7.12869e-05,3.09250e-05,2.88124e-04,3.52972e-05,4.42548e-05,1.81067e-06,4.62828e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,6.99842e-01,4.12098e-07,2.91072e-01,6.99842e-17,1.61065e-17,4.26580e-14,4.25598e-14,7.07946e-05,1.28825e-05,3.57273e-03,2.06063e-07,1.87068e-03,1.54170e-04,4.23643e-08,1.38038e-08,9.33254e-04,3.12608e-07,5.55904e-05,5.06991e-05,2.88403e-04,2.71019e-05,4.58142e-05,7.94328e-06,4.70977e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
1.59013e+05,59.22372,45811.71652,5.68915,11.09120,-5.61978,4.12027,526.49014,1.06648,892.63300,0.21747,12.00000,10.97050,-0.23583,-0.79618,1.79120,7.85144,8.20577,8.48579,4.28734,7.84095,6.27918,7.32105,6.39484,7.41351,7.40351,7.21556e-01,1.61220e-05,2.69650e-01,2.93386e-12,1.02148e-12,1.32520e-10,3.44977e-10,6.01243e-04,1.49286e-05,1.62159e-03,9.13040e-07,3.43962e-03,9.53345e-05,4.42660e-06,2.65681e-07,9.34867e-04,1.40806e-06,7.07962e-05,3.15631e-05,2.88124e-04,3.50276e-05,4.43466e-05,1.97383e-06,4.63084e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,6.98232e-01,3.89045e-07,2.92415e-01,5.40754e-17,1.18032e-17,3.74973e-14,3.61410e-14,6.91831e-05,1.30617e-05,3.62243e-03,2.05116e-07,1.81970e-03,1.51008e-04,3.94457e-08,1.27644e-08,9.33254e-04,3.04089e-07,5.48277e-05,5.15229e-05,2.88403e-04,2.67917e-05,4.59198e-05,8.12831e-06,4.70977e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
1.72999e+05,59.19004,45825.31732,5.68982,11.09300,-5.61830,4.11987,525.57600,1.06852,892.09400,0.21784,12.00000,10.97192,-0.37975,-0.89157,1.74661,7.83230,8.22668,8.47954,4.26693,7.84109,6.28830,7.32124,6.39695,7.41390,7.40390,7.20908e-01,1.53232e-05,2.70290e-01,2.10451e-12,8.18013e-13,1.21188e-10,3.09165e-10,5.74315e-04,1.48044e-05,1.70012e-03,8.75750e-07,3.38228e-03,9.94855e-05,4.20049e-06,2.53256e-07,9.34803e-04,1.35553e-06,7.03024e-05,3.22040e-05,2.88124e-04,3.47584e-05,4.44416e-05,2.13462e-06,4.63340e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,6.98232e-01,3.68129e-07,2.93765e-01,4.37522e-17,8.70964e-18,3.29610e-14,3.07610e-14,6.77642e-05,1.32130e-05,3.66438e-03,2.04174e-07,1.77011e-03,1.47571e-04,3.65595e-08,1.18304e-08,9.33254e-04,2.96483e-07,5.42001e-05,5.22396e-05,2.88403e-04,2.64850e-05,4.60257e-05,8.29851e-06,4.72063e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
1.86707e+05,59.15692,45839.10157,5.69048,11.09480,-5.61684,4.11949,524.65016,1.07058,891.56000,0.21821,12.00000,10.97336,-0.52034,-0.98530,1.70292,7.81351,8.24612,8.47322,4.24673,7.84124,6.29726,7.32142,6.39903,7.41429,7.40429,7.20261e-01,1.45724e-05,2.70944e-01,1.52118e-12,6.57476e-13,1.11017e-10,2.77645e-10,5.49022e-04,1.46886e-05,1.77644e-03,8.40853e-07,3.32560e-03,1.03257e-04,3.98841e-06,2.41529e-07,9.34738e-04,1.30575e-06,6.98023e-05,3.28458e-05,2.88124e-04,3.44890e-05,4.45379e-05,2.29282e-06,4.63586e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,6.96627e-01,3.49140e-07,2.95121e-01,3.65595e-17,6.44169e-18,2.89734e-14,2.61216e-14,6.65273e-05,1.33968e-05,3.71535e-03,2.03236e-07,1.72187e-03,1.44544e-04,3.38844e-08,1.09648e-08,9.33254e-04,2.89068e-07,5.35797e-05,5.30884e-05,2.88403e-04,2.61818e-05,4.61318e-05,8.47227e-06,4.72063e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
2.00157e+05,59.12431,45852.73383,5.69114,11.09660,-5.61540,4.11911,523.71034,1.07268,891.03200,0.21858,12.00000,10.97483,-0.65749,-1.07765,1.66007,7.79507,8.26427,8.46687,4.22674,7.84140,6.30607,7.32162,6.40109,7.41469,7.40469,7.19598e-01,1.38666e-05,2.71613e-01,1.10823e-12,5.30249e-13,1.01866e-10,2.49816e-10,5.25231e-04,1.45818e-05,1.85059e-03,8.08202e-07,3.26972e-03,1.06672e-04,3.78940e-06,2.30452e-07,9.34695e-04,1.25855e-06,6.93011e-05,3.34881e-05,2.88124e-04,3.42208e-05,4.46365e-05,2.44833e-06,4.63842e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,6.95024e-01,3.28095e-07,2.96483e-01,3.06902e-17,4.59198e-18,2.43781e-14,2.13304e-14,6.51628e-05,1.35831e-05,3.75837e-03,2.01837e-07,1.67880e-03,1.41579e-04,3.04089e-08,1.01158e-08,9.33254e-04,2.82488e-07,5.29663e-05,5.38270e-05,2.88403e-04,2.58821e-05,4.62381e-05,8.62979e-06,4.72063e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
2.13369e+05,59.09217,45867.56816,5.69179,11.09780,-5.61397,4.11878,522.79220,1.07467,890.53600,0.21894,12.00000,10.97632,-0.79121,-1.16864,1.61800,7.77696,8.28127,8.46048,4.20698,7.84156,6.31472,7.32184,6.40313,7.41510,7.40510,7.18919e-01,1.32026e-05,2.72289e-01,8.13786e-13,4.29013e-13,9.36074e-11,2.25180e-10,5.02840e-04,1.44837e-05,1.92269e-03,7.77607e-07,3.21455e-03,1.09756e-04,3.60247e-06,2.19994e-07,9.34631e-04,1.21381e-06,6.87987e-05,3.41295e-05,2.88124e-04,3.39539e-05,4.47373e-05,2.60094e-06,4.64098e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,6.93426e-01,3.08319e-07,2.97852e-01,2.65461e-17,3.29610e-18,2.06538e-14,1.74985e-14,6.41210e-05,1.37721e-05,3.80189e-03,2.00909e-07,1.63305e-03,1.38357e-04,2.76058e-08,9.33254e-09,9.33254e-04,2.75423e-07,5.23600e-05,5.44503e-05,2.88403e-04,2.55859e-05,4.63447e-05,8.79023e-06,4.73151e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
2.26344e+05,59.06051,45881.44500,5.69243,11.09930,-5.61257,4.11843,521.86706,1.07673,890.03300,0.21930,12.00000,10.97783,-0.92136,-1.25796,1.57669,7.75921,8.29719,8.45406,4.18744,7.84173,6.32318,7.32205,6.40514,7.41551,7.40551,7.18241e-01,1.25788e-05,2.72979e-01,6.02490e-13,3.48217e-13,8.61490e-11,2.03329e-10,4.81781e-04,1.43946e-05,1.99269e-03,7.48928e-07,3.16031e-03,1.12525e-04,3.42705e-06,2.10116e-07,9.34566e-04,1.17139e-06,6.82967e-05,3.47680e-05,2.88124e-04,3.36884e-05,4.48384e-05,2.75049e-06,4.64355e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,6.91831e-01,2.94442e-07,2.98538e-01,2.39332e-17,2.50611e-18,1.84502e-14,1.51705e-14,6.30957e-05,1.39316e-05,3.83707e-03,1.99526e-07,1.59221e-03,1.35519e-04,2.61818e-08,8.64968e-09,9.33254e-04,2.69774e-07,5.18800e-05,5.52077e-05,2.88403e-04,2.52930e-05,4.65586e-05,8.93305e-06,4.73151e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
2.39104e+05,59.02927,45893.45239,5.69308,11.10180,-5.61118,4.11800,520.89878,1.07898,889.49500,0.21965,12.00000,10.97936,-1.04770,-1.34570,1.53609,7.74180,8.31217,8.44763,4.16812,7.84191,6.33148,7.32228,6.40713,7.41593,7.40593,7.17546e-01,1.19911e-05,2.73678e-01,4.49977e-13,2.83472e-13,7.93908e-11,1.83895e-10,4.61934e-04,1.43146e-05,2.06068e-03,7.22021e-07,3.10699e-03,1.15006e-04,3.26205e-06,2.00780e-07,9.34501e-04,1.13112e-06,6.77938e-05,3.54046e-05,2.88124e-04,3.34249e-05,4.49407e-05,2.89701e-06,4.64622e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,6.91831e-01,2.83139e-07,2.99916e-01,2.18273e-17,1.93197e-18,1.67109e-14,1.33352e-14,6.23735e-05,1.41254e-05,3.87258e-03,1.98609e-07,1.55239e-03,1.32739e-04,2.48886e-08,8.07235e-09,9.33254e-04,2.64241e-07,5.12861e-05,5.58470e-05,2.88403e-04,2.50611e-05,4.66659e-05,9.07821e-06,4.73151e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
2.51681e+05,58.99839,45905.37790,5.69374,11.10440,-5.60987,4.11757,519.90922,1.08128,888.95600,0.22001,12.00000,10.98091,-1.16999,-1.43214,1.49608,7.72469,8.32633,8.44119,4.14897,7.84210,6.33961,7.32253,6.40910,7.41636,7.40636,7.16836e-01,1.14367e-05,2.74391e-01,3.39219e-13,2.31329e-13,7.32453e-11,1.66541e-10,4.43190e-04,1.42433e-05,2.12691e-03,6.96707e-07,3.05450e-03,1.17222e-04,3.10649e-06,1.91929e-07,9.34458e-04,1.09280e-06,6.72915e-05,3.60379e-05,2.88124e-04,3.31627e-05,4.50443e-05,3.04074e-06,4.64879e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,6.90240e-01,2.72270e-07,3.01301e-01,2.00909e-17,1.49624e-18,1.50661e-14,1.16950e-14,6.16595e-05,1.42889e-05,3.91742e-03,1.97697e-07,1.51356e-03,1.29718e-04,2.34423e-08,7.55092e-09,9.33254e-04,2.59418e-07,5.08159e-05,5.64937e-05,2.88403e-04,2.47742e-05,4.67735e-05,9.22571e-06,4.74242e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
2.64094e+05,58.96782,45917.54434,5.69439,11.10680,-5.60849,4.11716,518.90973,1.08361,888.42900,0.22036,12.00000,10.98247,-1.28780,-1.51773,1.45660,7.70784,8.33974,8.43471,4.12998,7.84229,6.34758,7.32277,6.41103,7.41679,7.40679,7.16127e-01,1.09126e-05,2.75106e-01,2.58369e-13,1.89200e-13,6.76441e-11,1.51005e-10,4.25451e-04,1.41808e-05,2.19144e-03,6.72837e-07,3.00276e-03,1.19190e-04,2.95978e-06,1.83535e-07,9.34394e-04,1.05631e-06,6.67898e-05,3.66691e-05,2.88124e-04,3.29018e-05,4.51492e-05,3.18171e-06,4.65136e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,6.88652e-01,2.58821e-07,3.02691e-01,1.82810e-17,1.10662e-18,1.29420e-14,9.77237e-15,6.09537e-05,1.44544e-05,3.94457e-03,1.96789e-07,1.47571e-03,1.27057e-04,2.12324e-08,7.01455e-09,9.33254e-04,2.54683e-07,5.02343e-05,5.71479e-05,2.88403e-04,2.44906e-05,4.68813e-05,9.35406e-06,4.74242e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
2.76351e+05,58.93753,45930.69986,5.69503,11.10860,-5.60712,4.11679,517.92427,1.08585,887.93200,0.22071,12.00000,10.98406,-1.40098,-1.60204,1.41763,7.69127,8.35246,8.42821,4.11115,7.84249,6.35540,7.32303,6.41294,7.41723,7.40723,7.15402e-01,1.04172e-05,2.75835e-01,1.98893e-13,1.55074e-13,6.25302e-11,1.37076e-10,4.08658e-04,1.41264e-05,2.25434e-03,6.50324e-07,2.95182e-03,1.20926e-04,2.82117e-06,1.75570e-07,9.34329e-04,1.02153e-06,6.62903e-05,3.72975e-05,2.88124e-04,3.26422e-05,4.52554e-05,3.31979e-06,4.65393e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,6.87068e-01,2.49459e-07,3.03389e-01,1.73380e-17,8.66962e-19,1.17490e-14,8.62979e-15,6.03949e-05,1.46218e-05,3.98107e-03,1.95884e-07,1.43880e-03,1.24165e-04,2.02302e-08,6.56145e-09,9.33254e-04,2.50035e-07,4.97737e-05,5.78096e-05,2.88403e-04,2.42661e-05,4.69894e-05,9.46237e-06,4.74242e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
2.88454e+05,58.90753,45942.42813,5.69567,11.11120,-5.60578,4.11637,516.91413,1.08822,887.40600,0.22105,12.00000,10.98567,-1.50896,-1.68510,1.37917,7.67500,8.36455,8.42171,4.09249,7.84271,6.36305,7.32330,6.41483,7.41768,7.40768,7.14661e-01,9.94901e-06,2.76573e-01,1.54949e-13,1.27380e-13,5.78589e-11,1.24572e-10,3.92772e-04,1.40802e-05,2.31563e-03,6.29086e-07,2.90182e-03,1.22448e-04,2.69036e-06,1.68012e-07,9.34286e-04,9.88394e-07,6.57915e-05,3.79210e-05,2.88124e-04,3.23855e-05,4.53628e-05,3.45502e-06,4.65650e-05,4.82848e-04,2.53934e-05,1.73165e-05,1.02322e-03,6.87068e-01,2.40991e-07,3.04789e-01,1.64437e-17,6.79204e-19,1.06905e-14,7.63836e-15,5.98412e-05,1.47571e-05,4.01791e-03,1.94984e-07,1.40605e-03,1.21619e-04,1.91867e-08,6.16595e-09,9.33254e-04,2.46037e-07,4.92040e-05,5.83445e-05,2.88403e-04,2.39883e-05,4.70977e-05,9.59401e-06,4.75335e-05,4.83059e-04,2.54097e-05,1.72982e-05,1.02329e-03,
