                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    5250                                     1414                  5.0000000000000000E+001                  8.8000000000000005E-003                  4.4430000344577571E+006                  4.1068177894653894E+000                  1.0874879545834563E+004                  7.2917590427732037E+005                  2.4089405399269125E+002                 -6.7651158328383350E+000                  7.8954955551811985E-004                  1.4065821974357963E-016                  9.9068336939197121E-001                  1.4201548759841038E-004                  5.5560437285301885E-003                  1.0551677376908456E-004                  9.2376237786694938E-004                  3.6348625005975741E+001                 -7.7946564318865904E-006                  4.8213633029659819E+000                  9.3509349195356931E-006                  3.1217008966758577E+001                  4.4711833129754989E-003                  2.0149567225822140E-001                  5.2808655222675591E-003                  3.3577492267713761E-002                  2.2748541409855370E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6348596718103060E+001                  2.2170267493597927E+002                  3.6348410353890110E+001                  1.9321571790235384E+002                  6.2091006320402231E+006                  1.7656195288730331E+002                  4.9848911343279411E+005                  6.7861929483528854E+005                  6.7861929483528854E+005                  1.2558235329914104E-014                  4.6175353483803767E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                    omega                                    v_rot 
                                       1                  3.6348625005975741E+001                  2.3818260804050135E+000                  4.0364246640662653E+000                 -1.1398641137550866E+001                  1.6072011552532330E+000                  6.9266171139200994E-001                  2.9862635087595163E-001                  8.7119377320383773E-003                  1.2281622498028493E-009                  2.0591054324812544E-001 
                                       2                  3.6348625005957565E+001                  2.3818260140179275E+000                  4.0364253488548991E+000                 -1.1398636370498039E+001                  1.6072042466007554E+000                  6.9266171139200972E-001                  2.9862635087595174E-001                  8.7119377320385993E-003                  1.2281622498028493E-009                  2.0591051177224787E-001 
                                       3                  3.6348625005916141E+001                  2.3818258626996420E+000                  4.0364269769122334E+000                 -1.1398625037373197E+001                  1.6072115961177031E+000                  6.9266171139200827E-001                  2.9862635087595313E-001                  8.7119377320385993E-003                  1.2281622498134595E-009                  2.0591044003003406E-001 
                                       4                  3.6348625005815869E+001                  2.3818254964398142E+000                  4.0364305834055072E+000                 -1.1398599933763638E+001                  1.6072278766865387E+000                  6.9266171139200039E-001                  2.9862635087596112E-001                  8.7119377320384883E-003                  1.2281622498746401E-009                  2.0591026638694401E-001 
                                       5                  3.6348625005602244E+001                  2.3818247161891550E+000                  4.0364356423871994E+000                 -1.1398564722859886E+001                  1.6072507138423122E+000                  6.9266171139197419E-001                  2.9862635087598738E-001                  8.7119377320383773E-003                  1.2281622501713994E-009                  2.0590989649997629E-001 
                                       6                  3.6348625005375546E+001                  2.3818238882305756E+000                  4.0364432556709984E+000                 -1.1398511742807910E+001                  1.6072850806298646E+000                  6.9266171139191091E-001                  2.9862635087605088E-001                  8.7119377320381552E-003                  1.2281622507357154E-009                  2.0590950403905228E-001 
                                       7                  3.6348625004939578E+001                  2.3818222961834579E+000                  4.0364603845429752E+000                 -1.1398392584663448E+001                  1.6073623970936117E+000                  6.9266171139166521E-001                  2.9862635087629730E-001                  8.7119377320374891E-003                  1.2281622558932966E-009                  2.0590875007714149E-001 
                                       8                  3.6348625003884550E+001                  2.3818184444139585E+000                  4.0364997120120343E+000                 -1.1398119200589097E+001                  1.6075398928220637E+000                  6.9266171139052846E-001                  2.9862635087743744E-001                  8.7119377320341584E-003                  1.2281623110059587E-009                  2.0590693311485503E-001 
                                       9                  3.6348625001515806E+001                  2.3818098015708080E+000                  4.0365914579580080E+000                 -1.1397482538712948E+001                  1.6079538507324058E+000                  6.9266171138488797E-001                  2.9862635088309486E-001                  8.7119377320171720E-003                  1.2281626441165528E-009                  2.0590289127246872E-001 
