line time mass lg(L) lg(Teff) 1H_surf 4He_surf 12C_surf 13C_surf 14N_surf 16O_surf 17O_surf 18O_surf 20Ne_surf 22Ne_surf 26Al_surf Mcc/Mt lg(Teff) lg(Md) lg(rhoc) lg(Tc) 1H_cen 4He_cen 12C_cen 13C_cen 14N_cen 16O_cen 17O_cen 18O_cen 20Ne_cen 22Ne_cen 26Al_cen Omeg_surf Omeg_cen Rp/Req Md/Md(0) v_crit1 v_crit2 v_equa Om/Om_cr Gamma_Ed lg(Mdot_mech) L_tot 
1 0.299760632344434E+05 49.968742 5.546668 4.672965 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707436E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6832 4.672965 -5.988 0.466789 7.628011 0.7169853E+00 0.2687290E+00 3.3903135E-05 9.2950959E-06 3.9547036E-03 4.9798827E-03 1.0749261E-05 1.4613752E-08 1.8758995E-03 8.4895223E-05 3.612E-06 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.186306 0.0000000E+00 0.0000000000E+00 
2 0.103033697832204E+06 49.892715 5.549311 4.668447 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707436E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6783 4.668447 -5.978 0.446859 7.621752 0.7084793E+00 0.2774179E+00 4.4270581E-05 1.2134683E-05 5.2298983E-03 3.5080521E-03 7.7362458E-06 1.0389802E-08 1.8734900E-03 1.9510515E-05 1.137E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.187728 0.0000000E+00 0.0000000000E+00 
3 0.176762818042076E+06 49.814420 5.552281 4.665864 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707436E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6742 4.665864 -5.970 0.437633 7.619042 0.6999782E+00 0.2860303E+00 5.0462305E-05 1.3830575E-05 5.9987571E-03 2.6207913E-03 5.8335569E-06 7.7743034E-09 1.8715580E-03 5.6037940E-06 1.629E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.189314 0.0000000E+00 0.0000000000E+00 
4 0.249283264150147E+06 49.735925 5.555181 4.664016 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707436E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6699 4.664016 -5.962 0.432407 7.617659 0.6915670E+00 0.2945164E+00 5.4635990E-05 1.4973637E-05 6.5142685E-03 2.0258796E-03 4.5322541E-06 6.0183860E-09 1.8698565E-03 2.1668086E-06 1.963E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.190883 0.0000000E+00 0.0000000000E+00 
5 0.321803710258218E+06 49.655956 5.558138 4.662507 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707436E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6656 4.662507 -5.954 0.429125 7.616921 0.6830761E+00 0.3030615E+00 5.7697237E-05 1.5812238E-05 6.8883375E-03 1.5941546E-03 3.5734228E-06 4.7389325E-09 1.8682587E-03 1.2261929E-06 2.201E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.192496 0.0000000E+00 0.0000000000E+00 
6 0.394324156366289E+06 49.574491 5.561136 4.661157 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707436E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6614 4.661157 -5.946 0.427024 7.616574 0.6744893E+00 0.3116890E+00 6.0026908E-05 1.6450655E-05 7.1688182E-03 1.2703916E-03 2.8477830E-06 3.7769952E-09 1.8667207E-03 9.7726702E-07 2.370E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.194149 0.0000000E+00 0.0000000000E+00 
7 0.464427254270757E+06 49.494289 5.564074 4.659923 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707436E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6574 4.659923 -5.938 0.425746 7.616487 0.6660867E+00 0.3201219E+00 6.1790682E-05 1.6934209E-05 7.3771284E-03 1.0298825E-03 2.3058504E-06 3.0613236E-09 1.8652668E-03 9.3394773E-07 2.484E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.195783 0.0000000E+00 0.0000000000E+00 
8 0.534530352175226E+06 49.412625 5.567043 4.658719 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707437E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6535 4.658719 -5.930 0.425002 7.616575 0.6575753E+00 0.3286568E+00 6.3202370E-05 1.7321460E-05 7.5399251E-03 8.4186761E-04 1.8809054E-06 2.5013179E-09 1.8638305E-03 9.5321595E-07 2.560E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.197452 0.0000000E+00 0.0000000000E+00 
9 0.603424775977897E+06 49.330913 5.569998 4.657573 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707437E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6497 4.657573 -5.922 0.424660 7.616790 0.6490990E+00 0.3371514E+00 6.4329988E-05 1.7630992E-05 7.6661958E-03 6.9598257E-04 1.5506770E-06 2.0665689E-09 1.8624261E-03 9.9374118E-07 2.605E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.199129 0.0000000E+00 0.0000000000E+00 
10 0.670905051081458E+06 49.249442 5.572922 4.656454 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707437E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6460 4.656454 -5.915 0.424609 7.617094 0.6406868E+00 0.3455777E+00 6.5265566E-05 1.7888214E-05 7.7647071E-03 5.8207680E-04 1.2913708E-06 1.7266056E-09 1.8610511E-03 1.0423450E-06 2.626E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.200806 0.0000000E+00 0.0000000000E+00 
11 0.737866079790883E+06 49.167162 5.575853 4.655321 0.7200000E+00 0.2659559E+00 2.2831525E-03 2.7707438E-05 6.5875803E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 0.000E+00 0.6423 4.655321 -5.907 0.424773 7.617463 0.6322280E+00 0.3540479E+00 6.6072559E-05 1.8111878E-05 7.8429988E-03 4.9144467E-04 1.0824405E-06 1.4535488E-09 1.8596821E-03 1.0944101E-06 2.628E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.202504 0.0000000E+00 0.0000000000E+00 
